Source,Target,Weight
Organic_C (%),C_N_Ratio,0.6690682716382904
Organic_C (%),β_Glucosidase (µmol/g/h),0.9981329244214994
Organic_C (%),CO2_Emission (µg/g/day),0.9998060961907298
Total_N (%),C_N_Ratio,-0.7104879442978183
Total_N (%),Urease (µmol/g/h),0.9998969948771617
Total_N (%),NH4_Nitrate (µg/g),0.9999874081378445
C_N_Ratio,β_Glucosidase (µmol/g/h),0.6679221591493855
C_N_Ratio,Urease (µmol/g/h),-0.7104248855498185
C_N_Ratio,CO2_Emission (µg/g/day),0.6688654146464921
C_N_Ratio,NH4_Nitrate (µg/g),-0.7104885909346832
β_Glucosidase (µmol/g/h),CO2_Emission (µg/g/day),0.9979434230149496
Urease (µmol/g/h),NH4_Nitrate (µg/g),0.9998842607971262
